method,p_value,statistic,effect_size,mutual_info,impact,n,f1_type,f2_type,outcome_type,feature_1,feature_2,outcome,significant,bonferroni,rank,cumulative_pct
chi2,2.2769811218214206e-167,740.8849,0.0,0.36,59.9895,3000,cat,cat,cat,IsManager,IsIC,PayZone_encoded,True,True,13,36.120194595347385
chi2,9.773579338380215e-295,1113.9296,0.0,0.1897,55.7798,3000,cat,cat,cat,Region,IntersectionalID,is_terminated,True,True,14,37.59147110242209
chi2,5.681814468723549e-260,944.7371,0.0,0.2126,55.1101,3000,cat,num,cat,Region,DeptGenderRatio,is_minority_dept,True,True,15,39.04508326009455
chi2,5.6818144687229005e-260,944.7371,0.0,0.2093,54.2625,3000,cat,cat,cat,Region,DepartmentType,is_minority_dept,True,True,16,40.47633868706168
chi2,5.6818144687229005e-260,944.7371,0.0,0.2064,53.5066,3000,cat,num,cat,Region,DeptDiversityScore,is_minority_dept,True,True,17,41.88765610938022
chi2,6.896273887830568e-226,785.2421,0.0,0.2237,50.3604,3000,cat,cat,cat,SeniorityLevel,IntersectionalID,is_terminated,True,True,18,43.21598775285842
chi2,4.069536738208647e-248,630.0681,0.0,0.1978,48.9266,3000,cat,cat,cat,SeniorityLevel,DepartmentType,is_terminated,True,True,19,44.50650075489574
chi2,4.0695367382091095e-248,630.0681,0.0,0.1957,48.4249,3000,cat,num,cat,SeniorityLevel,DeptGenderRatio,is_terminated,True,True,20,45.783780661375175
chi2,3.5510238664092316e-238,570.143,0.0,0.2024,48.0592,3000,cat,num,cat,IsIC,DeptGenderRatio,is_terminated,True,True,21,47.05141467778981
chi2,1.4160517880389333e-252,722.8245,0.0,0.1897,47.7809,3000,cat,cat,cat,Region,IntersectionalID,PerfScore,True,True,22,48.31170811119914
chi2,3.5510238664092316e-238,570.143,0.0,0.2011,47.7507,3000,cat,cat,cat,IsIC,DepartmentType,is_terminated,True,True,23,49.571204973976926
chi2,4.380482148470899e-228,655.5073,0.0,0.2077,47.2118,3000,cat,cat,cat,IsIC,IntersectionalID,is_terminated,True,True,24,50.81648753498843
chi2,4.0695367382091095e-248,630.0681,0.0,0.1782,44.094,3000,cat,num,cat,SeniorityLevel,DeptDiversityScore,is_terminated,True,True,25,51.97953341007139
chi2,3.551023866408826e-238,570.143,0.0,0.1842,43.7431,3000,cat,num,cat,IsIC,DeptDiversityScore,is_terminated,True,True,26,53.13332376745201
chi2,5.433237143811611e-215,689.4899,0.0,0.1978,42.3754,3000,cat,cat,cat,SeniorityLevel,DepartmentType,is_minority_dept,True,True,27,54.25103897076743
chi2,1.0315977073375413e-217,630.9571,0.0,0.195,42.3205,3000,cat,cat,cat,IsManager,IntersectionalID,is_terminated,True,True,28,55.367306103630135
chi2,1.4596160187947671e-239,576.6073,0.0,0.1766,42.186,3000,cat,cat,cat,IsManager,DepartmentType,is_terminated,True,True,29,56.480025595766236
chi2,5.433237143811611e-215,689.4899,0.0,0.1957,41.9408,3000,cat,num,cat,SeniorityLevel,DeptGenderRatio,is_minority_dept,True,True,30,57.58627756741043
chi2,1.4364766413475535e-221,1077.2176,0.0,0.1897,41.8984,3000,cat,cat,cat,Region,IntersectionalID,is_minority_dept,True,True,31,58.69141117498914
chi2,1.6106647552414173e-187,729.0643,0.0,0.2237,41.7788,3000,cat,cat,cat,SeniorityLevel,IntersectionalID,is_minority_dept,True,True,32,59.79339015185483
chi2,1.4596160187947671e-239,576.6073,0.0,0.1726,41.2118,3000,cat,num,cat,IsManager,DeptGenderRatio,is_terminated,True,True,33,60.880413646995756
chi2,4.523224527362929e-182,422.0935,0.0,0.2237,40.5602,3000,cat,cat,cat,SeniorityLevel,IntersectionalID,PerfScore,True,True,34,61.950250207583125
chi2,4.228389874497234e-201,636.6411,0.0,0.2024,40.5552,3000,cat,num,cat,IsIC,DeptGenderRatio,is_minority_dept,True,True,35,63.019954885615604
chi2,4.228389874497234e-201,636.6411,0.0,0.2011,40.2948,3000,cat,cat,cat,IsIC,DepartmentType,is_minority_dept,True,True,36,64.0827911201893
chi2,5.66306252436168e-202,334.3517,0.0,0.1978,39.8008,3000,cat,cat,cat,SeniorityLevel,DepartmentType,PerfScore,True,True,37,65.13259735833965
chi2,8.914287414182737e-188,449.6818,0.0,0.2093,39.1513,3000,cat,cat,cat,Region,DepartmentType,SeniorityLevel,True,True,38,66.16527205260951
chi2,1.4596160187947671e-239,576.6073,0.0,0.1633,39.0069,3000,cat,num,cat,IsManager,DeptDiversityScore,is_terminated,True,True,39,67.19413797869409
chi2,5.433237143812231e-215,689.4899,0.0,0.1782,38.1898,3000,cat,num,cat,SeniorityLevel,DeptDiversityScore,is_minority_dept,True,True,40,68.20145165765818
chi2,4.369754421640536e-184,656.7009,0.0,0.2077,38.0753,3000,cat,cat,cat,IsIC,IntersectionalID,is_minority_dept,True,True,41,69.20574522611525
chi2,1.4594426361443594e-200,643.6237,0.0,0.1897,37.913,3000,cat,cat,cat,Region,IntersectionalID,SeniorityLevel,True,True,42,70.20575788684053
chi2,2.0653533529098666e-186,310.0704,0.0,0.2011,37.3409,3000,cat,cat,cat,IsIC,DepartmentType,PerfScore,True,True,43,71.19068054563505
chi2,5.9653846821931395e-180,380.9677,0.0,0.2077,37.2166,3000,cat,cat,cat,IsIC,IntersectionalID,PerfScore,True,True,44,72.17232460411493
chi2,4.228389874497234e-201,636.6411,0.0,0.1842,36.913,3000,cat,num,cat,IsIC,DeptDiversityScore,is_minority_dept,True,True,45,73.14596075386177
chi2,1.0535897347511084e-191,609.653,0.0,0.1766,33.7327,3000,cat,cat,cat,IsManager,DepartmentType,is_minority_dept,True,True,46,74.0357116857439
chi2,4.571930593796562e-173,628.2064,0.0,0.195,33.6127,3000,cat,cat,cat,IsManager,IntersectionalID,is_minority_dept,True,True,47,74.92229743630863
chi2,1.0535897347511084e-191,609.653,0.0,0.1726,32.9537,3000,cat,num,cat,IsManager,DeptGenderRatio,is_minority_dept,True,True,48,75.79150106613857
chi2,1.8925717772729085e-165,350.0499,0.0,0.195,32.1271,3000,cat,cat,cat,IsManager,IntersectionalID,PerfScore,True,True,49,76.63890187199374
chi2,5.037485238595204e-182,310.8519,0.0,0.1766,32.023,3000,cat,cat,cat,IsManager,DepartmentType,PerfScore,True,True,50,77.48355688305605
chi2,1.053589734751048e-191,609.653,0.0,0.1633,31.1906,3000,cat,num,cat,IsManager,DeptDiversityScore,is_minority_dept,True,True,51,78.3062560863799
pearson,2.209558018154969e-146,-0.4457,0.1986,1.0292,28.9343,3000,num,num,cat,DeptGenderRatio,DeptDiversityScore,SeniorityLevel,True,True,52,79.06944196798314
pearson,2.209558018154969e-146,-0.4457,0.1986,1.0292,28.9343,3000,num,num,cat,DeptGenderRatio,DeptDiversityScore,PayZone_encoded,True,True,53,79.83262784958636
pearson,2.209558018154969e-146,-0.4457,0.1986,1.0292,28.9343,3000,num,num,cat,DeptGenderRatio,DeptDiversityScore,PerfScore,True,True,54,80.59581373118958
chi2,4.5467601465182386e-204,572.6708,0.0,0.1409,28.6455,3000,cat,cat,cat,JobFamily,Region,is_terminated,True,True,55,81.35138207642224
chi2,2.4557812944821646e-126,637.3862,0.0,0.2093,26.2913,3000,cat,cat,cat,Region,DepartmentType,PayZone_encoded,True,True,56,82.04485483950947
chi2,7.887469570967669e-202,469.2101,0.0,0.1203,24.1927,3000,cat,cat,cat,Region,IsManager,is_terminated,True,True,57,82.68297385665737
pearson,1.7824640544512878e-128,-0.4199,0.1763,0.9419,22.5264,3000,num,num,cat,TenureDays,StartYear,PerfScore,True,True,58,83.2771416935619
pearson,1.7824640544512878e-128,-0.4199,0.1763,0.9419,22.5264,3000,num,num,cat,TenureDays,StartYear,PayZone_encoded,True,True,59,83.87130953046645
pearson,1.7824640544512878e-128,-0.4199,0.1763,0.9419,22.5264,3000,num,num,cat,TenureDays,StartYear,SeniorityLevel,True,True,60,84.465477367371
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureVsAvg,StartYear,SeniorityLevel,True,True,61,85.05860596974298
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureVsAvg,StartYear,PayZone_encoded,True,True,62,85.65173457211498
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureVsAvg,StartYear,PerfScore,True,True,63,86.24486317448697
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureYears,StartYear,PayZone_encoded,True,True,64,86.83799177685894
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureYears,StartYear,SeniorityLevel,True,True,65,87.43112037923095
pearson,2.333032631427586e-128,-0.4197,0.1762,0.885,22.487,3000,num,num,cat,TenureYears,StartYear,PerfScore,True,True,66,88.02424898160292
chi2,1.3491077934479999e-158,306.8585,0.0,0.1409,22.2397,3000,cat,cat,cat,JobFamily,Region,PerfScore,True,True,67,88.61085467280996
chi2,2.2678944569302937e-154,413.352,0.0,0.1409,21.6444,3000,cat,cat,cat,JobFamily,Region,SeniorityLevel,True,True,68,89.18175842703153
chi2,2.1272437658529018e-35,3677.5981,0.0,0.6225,21.5835,3000,num,cat,cat,TenureDays,StartQuarter,is_terminated,True,True,69,89.75105585173449
chi2,6.025717364196104e-106,952.7059,0.0,0.1897,19.9624,3000,cat,cat,cat,Region,IntersectionalID,PayZone_encoded,True,True,70,90.27759431449033
chi2,4.917573098692228e-97,434.6739,0.0,0.1978,19.047,3000,cat,cat,cat,SeniorityLevel,DepartmentType,PayZone_encoded,True,True,71,90.77998771909651
chi2,2.158370632128282e-133,573.7121,0.0,0.1409,18.6891,3000,cat,cat,cat,JobFamily,Region,is_minority_dept,True,True,72,91.27294097042352
chi2,2.352774100975189e-150,260.8449,0.0,0.1203,18.0003,3000,cat,cat,cat,Region,IsManager,PerfScore,True,True,73,91.74772608098858
chi2,3.0941996404332177e-89,399.849,0.0,0.2011,17.7991,3000,cat,cat,cat,IsIC,DepartmentType,PayZone_encoded,True,True,74,92.21720423754478
chi2,2.4526191187752198e-231,1000.0,0.0,0.077,17.7534,3000,cat,cat,cat,SeniorityLevel,IsExecutive,PayZone_encoded,True,True,75,92.68547698754928
chi2,2.3221626624187798e-146,481.272,0.0,0.1203,17.5198,3000,cat,cat,cat,Region,IsManager,is_minority_dept,True,True,76,93.1475881845892
chi2,3.470762630456986e-226,1000.0,0.0,0.0767,17.2817,3000,cat,cat,cat,JobFamily,IsExecutive,PayZone_encoded,True,True,77,93.60341913436515
chi2,4.4536614956204974e-76,594.2632,0.0,0.2237,16.8533,3000,cat,cat,cat,SeniorityLevel,IntersectionalID,PayZone_encoded,True,True,78,94.04795038683795
chi2,2.4785978678105152e-88,398.3809,0.0,0.1766,15.474,3000,cat,cat,cat,IsManager,DepartmentType,PayZone_encoded,True,True,79,94.45610051771821
chi2,3.385715338641447e-154,369.3858,0.0,0.1002,15.3777,3000,cat,cat,cat,SeniorityLevel,Region,is_terminated,True,True,80,94.86171059059123
chi2,2.845968635853033e-73,480.1556,0.0,0.2077,15.0644,3000,cat,cat,cat,IsIC,IntersectionalID,PayZone_encoded,True,True,81,95.25905690257473
chi2,4.5405201234208126e-145,338.1884,0.0,0.097,14.0079,3000,cat,cat,cat,Region,IsIC,is_terminated,True,True,82,95.62853643070949
chi2,2.7816048891840534e-68,455.0888,0.0,0.195,13.1759,3000,cat,cat,cat,IsManager,IntersectionalID,PayZone_encoded,True,True,83,95.97607070171021
chi2,1.0049911641611344e-69,109.3195,0.0,0.1766,12.1872,3000,cat,cat,cat,IsManager,DepartmentType,SeniorityLevel,True,True,84,96.29752651630655
chi2,1.439270715920153e-119,200.9641,0.0,0.1002,11.9079,3000,cat,cat,cat,SeniorityLevel,Region,PerfScore,True,True,85,96.61161537138662
chi2,3.643858723249667e-116,386.2448,0.0,0.1002,11.5669,3000,cat,cat,cat,SeniorityLevel,Region,is_minority_dept,True,True,86,96.91670983622302
chi2,3.5263464184376665e-111,186.4795,0.0,0.097,10.719,3000,cat,cat,cat,Region,IsIC,PerfScore,True,True,87,97.19943965740083
chi2,4.251208410522754e-108,352.1128,0.0,0.097,10.42,3000,cat,cat,cat,Region,IsIC,is_minority_dept,True,True,88,97.4742829017961
chi2,1.758288638162051e-50,121.9313,0.0,0.195,9.7041,3000,cat,cat,cat,IsManager,IntersectionalID,SeniorityLevel,True,True,89,97.73024320198188
chi2,1.7625183804084957e-69,377.4416,0.0,0.1409,9.6856,3000,cat,cat,cat,JobFamily,Region,PayZone_encoded,True,True,90,97.98571553671457
chi2,2.5577929352997366e-71,325.8645,0.0,0.1203,8.4922,3000,cat,cat,cat,Region,IsManager,PayZone_encoded,True,True,91,98.20971014324562
chi2,1.3238258397262153e-71,222.0764,0.0,0.0962,6.819,3000,num,cat,cat,StartYear,StartQuarter,is_terminated,True,True,92,98.38957157160753
chi2,6.853691255538316e-273,1014.4717,0.0,0.0206,5.5964,3000,cat,cat,cat,JobFamily,GenderCode,is_minority_dept,True,True,93,98.53718507764722
chi2,1.1203275774781043e-09,3743.7357,0.0,0.6225,5.5718,3000,num,cat,cat,TenureDays,StartQuarter,is_minority_dept,True,True,94,98.68414972151686
chi2,3.5332470310291635e-55,261.0782,0.0,0.1002,5.4561,3000,cat,cat,cat,SeniorityLevel,Region,PayZone_encoded,True,True,95,98.82806260306627
chi2,3.0193783202392e-54,238.7604,0.0,0.097,5.1939,3000,cat,cat,cat,Region,IsIC,PayZone_encoded,True,True,96,98.96505956343715
chi2,1.4569043965797446e-48,226.8285,0.0,0.0962,4.6022,3000,num,cat,cat,StartYear,StartQuarter,is_minority_dept,True,True,97,99.08644954226207
chi2,0.00012399138336117933,4063.5601,0.0,0.553,2.1602,3000,num,cat,cat,TenureDays,ExitQuarter,is_terminated,True,False,98,99.14342808127769
chi2,3.14846360009923e-14,34.6634,0.0,0.1203,1.6243,3000,cat,cat,cat,Region,IsManager,SeniorityLevel,True,True,99,99.18627144805995
chi2,4.1559941819782736e-140,398.4397,0.0,0.0115,1.6097,3000,cat,cat,cat,IsIC,GenderCode,is_minority_dept,True,True,100,99.22872971778193
chi2,3.732661808749715e-140,403.9422,0.0,0.011,1.528,3000,cat,cat,cat,SeniorityLevel,GenderCode,is_minority_dept,True,True,101,99.26903302655697
chi2,2.8467758236533484e-24,90.0678,0.0,0.0381,0.8975,3000,cat,cat,cat,JobFamily,PerfScore,is_terminated,True,True,102,99.29270594516011
chi2,9.641292184633809e-44,120.8864,0.0,0.0206,0.8845,3000,cat,cat,cat,JobFamily,GenderCode,is_terminated,True,True,103,99.31603596912055
chi2,4.904818449088731e-111,357.5667,0.0,0.0079,0.8762,3000,cat,cat,cat,Region,GenderCode,is_minority_dept,True,True,104,99.33914706803985
chi2,4.455067646345879e-20,91.0516,0.0,0.0381,0.7376,3000,cat,cat,cat,JobFamily,PerfScore,is_minority_dept,True,True,105,99.35860238253753
chi2,3.802873316139825e-32,48.0651,0.0,0.0206,0.6461,3000,cat,cat,cat,JobFamily,GenderCode,PerfScore,True,True,106,99.37564424628069
chi2,2.31514053298127e-27,82.6681,0.0,0.0223,0.5947,3000,cat,cat,cat,GenderCode,DepartmentType,is_terminated,True,True,107,99.39133035735958
chi2,3.8826469528771376e-19,67.4787,0.0,0.0311,0.5725,3000,cat,cat,cat,PerfScore,DepartmentType,is_terminated,True,True,108,99.40643090989472
chi2,3.8826469528771376e-19,67.4787,0.0,0.0302,0.5557,3000,num,cat,cat,DeptGenderRatio,PerfScore,is_terminated,True,True,109,99.42108833704543
chi2,1.6413883689193515e-27,29.5272,0.0,0.0192,0.5154,3000,cat,cat,cat,IsExecutive,IsIC,PerfScore,True,True,110,99.43468279080373
chi2,4.260974762029225e-27,71.0922,0.0,0.0192,0.5074,3000,cat,cat,cat,IsExecutive,IsIC,is_terminated,True,True,111,99.44806623247419
chi2,5.349698543378763e-98,284.2109,0.0,0.0051,0.4976,3000,cat,cat,cat,IsManager,GenderCode,is_minority_dept,True,True,112,99.46119118433705
chi2,1.3998205478293785e-22,34.3309,0.0,0.0223,0.4879,3000,cat,cat,cat,GenderCode,DepartmentType,PerfScore,True,True,113,99.47406028404343
chi2,4.569191923054942e-16,71.0307,0.0,0.0311,0.477,3000,cat,cat,cat,PerfScore,DepartmentType,is_minority_dept,True,True,114,99.48664187978015
chi2,4.569191923054959e-16,71.0307,0.0,0.0302,0.463,3000,num,cat,cat,DeptGenderRatio,PerfScore,is_minority_dept,True,True,115,99.49885420436317
chi2,7.935246832146363e-13,62.2362,0.0,0.0381,0.4612,3000,cat,cat,cat,JobFamily,PerfScore,SeniorityLevel,True,True,116,99.51101905122643
chi2,5.841856283201439e-23,65.3746,0.0,0.0192,0.4278,3000,cat,cat,cat,IsExecutive,IsIC,is_minority_dept,True,True,117,99.52230292262298
chi2,1.2493889626788057e-18,59.8847,0.0,0.0223,0.3997,3000,cat,cat,cat,GenderCode,DepartmentType,SeniorityLevel,True,True,118,99.53284561406107
chi2,1.6757340811986599e-25,72.0081,0.0,0.0158,0.3903,3000,cat,cat,cat,IsExecutive,DepartmentType,is_minority_dept,True,True,119,99.54314036629594
chi2,1.6757340811986599e-25,72.0081,0.0,0.0156,0.3873,3000,cat,num,cat,IsExecutive,DeptDiversityScore,is_minority_dept,True,True,120,99.5533559889979
chi2,3.8826469528771376e-19,67.4787,0.0,0.0207,0.3815,3000,num,cat,cat,DeptDiversityScore,PerfScore,is_terminated,True,True,121,99.56341862793616
chi2,1.1412542184386182e-12,49.0871,0.0,0.0311,0.3714,3000,cat,cat,cat,PerfScore,DepartmentType,SeniorityLevel,True,True,122,99.57321486411355
chi2,2.2684308620083356e-18,34.8675,0.0,0.0206,0.3628,3000,cat,cat,cat,JobFamily,GenderCode,SeniorityLevel,True,True,123,99.58278426229651
chi2,1.0778881519587674e-23,29.3674,0.0,0.0158,0.3618,3000,cat,cat,cat,IsExecutive,DepartmentType,PerfScore,True,True,124,99.59232728396853
chi2,1.3741464657883131e-11,1877.9355,0.0,0.0307,0.3337,3000,num,cat,cat,Age,Region,is_minority_dept,True,True,125,99.60112912568204
chi2,4.569191923054959e-16,71.0307,0.0,0.0207,0.3179,3000,num,cat,cat,DeptDiversityScore,PerfScore,is_minority_dept,True,True,126,99.60951421852208
chi2,3.405943254830692e-27,61.4501,0.0,0.0115,0.3057,3000,cat,cat,cat,IsIC,GenderCode,is_terminated,True,True,127,99.61757751792818
chi2,7.130640448659568e-14,42.4769,0.0,0.0229,0.3005,3000,cat,cat,cat,SeniorityLevel,PerfScore,is_terminated,True,True,128,99.62550365947719
chi2,1.6757340811986599e-25,72.0081,0.0,0.0121,0.2993,3000,cat,num,cat,IsExecutive,DeptGenderRatio,is_minority_dept,True,True,129,99.63339814921304
chi2,2.3518073368227863e-08,62.3841,0.0,0.0381,0.2908,3000,cat,cat,cat,JobFamily,PerfScore,PayZone_encoded,True,True,130,99.64106843860557
chi2,4.235735306145806e-19,68.8359,0.0,0.0158,0.2894,3000,cat,cat,cat,IsExecutive,DepartmentType,is_terminated,True,True,131,99.64870180088273
chi2,4.235735306145806e-19,68.8359,0.0,0.0156,0.2872,3000,cat,num,cat,IsExecutive,DeptDiversityScore,is_terminated,True,True,132,99.65627713483575
chi2,1.091905036432982e-14,68.4138,0.0,0.0206,0.2871,3000,cat,cat,cat,JobFamily,GenderCode,PayZone_encoded,True,True,133,99.66384983113765
chi2,7.77733183831033e-27,64.516,0.0,0.011,0.2861,3000,cat,cat,cat,SeniorityLevel,GenderCode,is_terminated,True,True,134,99.67139615092859
chi2,1.5109380417278217e-15,44.3605,0.0,0.0192,0.2852,3000,cat,cat,cat,IsExecutive,IsIC,PayZone_encoded,True,True,135,99.67891873185962
chi2,2.868332129756092e-07,10255.332,0.0,0.0433,0.283,3000,num,cat,cat,Age,IntersectionalID,is_minority_dept,True,True,136,99.68638328446652
chi2,3.9244356871962594e-19,50.7722,0.0,0.0144,0.2645,3000,cat,cat,cat,IsExecutive,IntersectionalID,PerfScore,True,True,137,99.69335987162032
chi2,1.0378299098852306e-18,92.6883,0.0,0.0144,0.2584,3000,cat,cat,cat,IsExecutive,IntersectionalID,is_minority_dept,True,True,138,99.70017556205715
chi2,1.0638909606245105e-18,153.67,0.0,0.0144,0.2583,3000,cat,cat,cat,IsExecutive,IntersectionalID,is_terminated,True,True,139,99.70698861484287
chi2,5.267560002898572e-12,42.1225,0.0,0.0229,0.2578,3000,cat,cat,cat,SeniorityLevel,PerfScore,is_minority_dept,True,True,140,99.71378847937311
chi2,0.35809880844259784,4476.135,0.0,0.553,0.2466,3000,num,cat,cat,TenureDays,ExitQuarter,is_minority_dept,False,False,141,99.72029292698039
chi2,2.3391004031961883e-15,41.2404,0.0,0.0166,0.2431,3000,cat,cat,cat,IsIC,PerfScore,is_terminated,True,True,142,99.72670505679925
chi2,2.3194856637454045e-11,48.5078,0.0,0.0223,0.2374,3000,cat,cat,cat,GenderCode,DepartmentType,PayZone_encoded,True,True,143,99.73296684050553
chi2,2.3981226092084374e-08,51.71,0.0,0.0311,0.237,3000,cat,cat,cat,PerfScore,DepartmentType,PayZone_encoded,True,True,144,99.73921807360742
chi2,4.235735306145806e-19,68.8359,0.0,0.0121,0.222,3000,cat,num,cat,IsExecutive,DeptGenderRatio,is_terminated,True,True,145,99.74507365904464
chi2,1.4541506101953639e-13,40.9384,0.0,0.0166,0.2133,3000,cat,cat,cat,IsIC,PerfScore,is_minority_dept,True,True,146,99.75069976883634
chi2,3.8476447777641086e-18,21.3948,0.0,0.0115,0.2011,3000,cat,cat,cat,IsIC,GenderCode,PerfScore,True,True,147,99.7560040851941
chi2,2.739076230355681e-13,43.8096,0.0,0.0158,0.1979,3000,cat,cat,cat,IsExecutive,DepartmentType,PayZone_encoded,True,True,148,99.76122399671674
chi2,2.4301646197909003e-07,459.1951,0.0,0.0294,0.1947,3000,num,cat,cat,Age,IsManager,is_minority_dept,True,True,149,99.76635950340423
chi2,3.6292219936128933e-13,35.2706,0.0,0.0155,0.1925,3000,cat,cat,cat,Generation,IsManager,is_minority_dept,True,True,150,99.7714369817676
chi2,7.020147104590461e-18,22.2942,0.0,0.011,0.188,3000,cat,cat,cat,SeniorityLevel,GenderCode,PerfScore,True,True,151,99.77639576583154
chi2,2.140606120469178e-12,20.2093,0.0,0.0155,0.1805,3000,cat,cat,cat,Generation,IsManager,SeniorityLevel,True,True,152,99.78115672606313
chi2,2.1265010626149922e-16,43.0496,0.0,0.0115,0.1801,3000,cat,cat,cat,IsManager,PerfScore,is_terminated,True,True,153,99.78590713569035
chi2,1.3322683374717689e-11,15.9417,0.0,0.0155,0.1682,3000,cat,cat,cat,Generation,IsManager,PerfScore,True,True,154,99.79034366483694
chi2,3.210426936457021e-12,127.5875,0.0,0.0144,0.1652,3000,cat,cat,cat,IsExecutive,IntersectionalID,PayZone_encoded,True,True,155,99.79470106445056
chi2,2.892547012696507e-14,23.1671,0.0,0.012,0.163,3000,cat,cat,cat,CareerStage,IsManager,SeniorityLevel,True,True,156,99.79900043574006
chi2,1.9098719059918137e-14,43.1733,0.0,0.0115,0.1577,3000,cat,cat,cat,IsManager,PerfScore,is_minority_dept,True,True,157,99.80316001152136
chi2,8.831654477905592e-06,1834.0607,0.0,0.0304,0.1537,3000,num,cat,cat,Age,DepartmentType,is_minority_dept,True,True,158,99.80721408125873
chi2,1.4844678913268426e-09,52.1295,0.0,0.0167,0.1478,3000,cat,num,cat,Generation,DeptGenderRatio,is_terminated,True,True,159,99.81111252958135
chi2,4.0678677875808837e-10,37.2788,0.0,0.0157,0.147,3000,cat,cat,cat,Generation,DepartmentType,SeniorityLevel,True,True,160,99.81498987669518
chi2,0.00011916517120078124,2058.4321,0.0,0.0374,0.1467,3000,num,cat,cat,Age,JobFamily,is_terminated,True,False,161,99.81885931085571
chi2,1.298552674855217e-12,34.6335,0.0,0.012,0.1431,3000,cat,cat,cat,CareerStage,IsManager,is_minority_dept,True,True,162,99.82263378957671
chi2,1.4844678913268317e-09,52.1295,0.0,0.0157,0.1382,3000,cat,cat,cat,Generation,DepartmentType,is_terminated,True,True,163,99.82627902339394
chi2,2.3151405329812866e-27,82.6681,0.0,0.0051,0.1369,3000,num,cat,cat,DeptDiversityScore,GenderCode,is_terminated,True,True,164,99.82988996774688
chi2,1.3728179967597088e-06,28.216,0.0,0.0229,0.134,3000,cat,cat,cat,SeniorityLevel,PerfScore,PayZone_encoded,True,True,165,99.83342442021798
chi2,2.3151405329812866e-27,82.6681,0.0,0.005,0.1328,3000,num,cat,cat,DeptGenderRatio,GenderCode,is_terminated,True,True,166,99.83692722087592
chi2,2.6721054207761622e-09,30.3575,0.0,0.0155,0.1326,3000,cat,cat,cat,Generation,IsManager,is_terminated,True,True,167,99.84042474623166
chi2,4.2742753091604406e-10,50.6534,0.0,0.0137,0.1287,3000,cat,num,cat,CareerStage,DeptDiversityScore,is_terminated,True,True,168,99.84381940319459
chi2,4.4193267963704443e-05,382.9137,0.0,0.0294,0.1282,3000,num,cat,cat,Age,IsManager,is_terminated,True,False,169,99.84720087190203
chi2,7.468083415418442e-05,1171.9455,0.0,0.0307,0.1268,3000,num,cat,cat,Age,Region,is_terminated,True,False,170,99.8505454134941
chi2,8.061276354212271e-09,29.3384,0.0,0.0157,0.1267,3000,cat,cat,cat,Generation,DepartmentType,PerfScore,True,True,171,99.85388731743505
chi2,1.3700189093920886e-11,26.7967,0.0,0.0115,0.1249,3000,cat,cat,cat,IsManager,PerfScore,SeniorityLevel,True,True,172,99.85718174365626
