EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel,TenureYears
2154,2022-04-28,Present,Production,Steven Mccarthy,CCDR,Active,Part-Time,Zone A,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Male,3793,Other,Married,exceeds,4,True,49.81245722108145,1167,Entry,3.197260273972603
2155,2019-06-29,2023-02-19,Production,Jesse Montoya,EW,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Resignation,See take music any idea same military.,Production       ,Finance,1972,Northeast,Project / Site Management,Female,72455,Other,Single,exceeds,4,False,52.519292279823645,1331,Entry,3.6465753424657534
2182,2021-03-14,Present,Production,Sharon Thompson,CCDR,Active,Full-Time,Zone A,Part-Time,Unk,Active,Production       ,General Operations,1973,Northeast,Engineering,Female,96129,Black,Widowed,exceeds,4,True,51.92182770599947,1577,Entry,4.32054794520548
2183,2018-12-13,Present,Production,Vickie Garrett,SVG,Active,Contract,Zone C,Full-Time,Unk,Active,Production       ,Finance,1970,Northeast,Project / Site Management,Female,81415,White,Divorced,exceeds,5,True,75.80013689253936,2399,Entry,6.572602739726028
2187,2020-02-28,Present,Production,Erica Wilson,PL,Active,Part-Time,Zone B,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1969,Northeast,Project / Site Management,Female,31571,Hispanic,Married,exceeds,5,True,55.94653167779521,1957,Mid,5.361643835616438
2199,2020-05-31,Present,Production,Catherine Spencer,MSC,Active,Full-Time,Zone C,Full-Time,Unk,Active,Production       ,General Operations,1970,Northeast,Project / Site Management,Female,15120,White,Divorced,exceeds,4,True,47.97535934291581,1864,Entry,5.1068493150684935
2200,2022-07-19,Present,Production,Raven Jackson,TNS,Active,Contract,Zone A,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Labor & Site Work,Female,4751,Asian,Single,exceeds,4,True,53.61493774081647,1085,Entry,2.9726027397260273
2202,2020-11-18,Present,Production,Sandra Hawkins,WBL,Active,Contract,Zone A,Part-Time,Unk,Active,Production       ,Project Management,1970,Northeast,Project / Site Management,Female,92017,Asian,Married,exceeds,4,True,56.49555099247091,1693,Entry,4.638356164383562
2211,2020-04-10,Present,IT & Infrastructure,Matthew Wood,WBL,Active,Contract,Zone C,Temporary,Unk,Active,IT/IS,Field Engineering / Operations,1974,Northeast,Admin & Support,Female,6070,White,Married,exceeds,5,True,51.23443467744743,1915,Entry,5.2465753424657535
2220,2022-09-17,Present,IT & Infrastructure,Charles Johnson,EW,Active,Contract,Zone B,Temporary,Unk,Active,IT/IS,General Operations,1970,Northeast,Engineering,Female,30879,Asian,Married,exceeds,4,True,63.82477754962355,1025,Entry,2.808219178082192
2221,2019-05-31,Present,IT & Infrastructure,Megan Walker,MSC,Active,Contract,Zone C,Part-Time,Unk,Active,IT/IS,Field Engineering / Operations,1971,Northeast,Labor & Site Work,Female,49637,Hispanic,Single,exceeds,4,True,53.81356493136625,2230,Entry,6.109589041095891
2917,2020-02-05,Present,Production,Amy Pearson,CCDR,Active,Contract,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Field Operations,Male,79382,Other,Widowed,exceeds,4,True,53.720828803451454,1980,Entry,5.424657534246576
2918,2018-12-22,2022-07-21,Production,Emma Wilson,SVG,Active,Part-Time,Zone B,Full-Time,Retirement,Organization walk against question.,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Female,2719,Black,Widowed,exceeds,4,False,46.1492128678987,1307,Entry,3.580821917808219
2920,2020-04-03,Present,Production,Gregory Palmer,MSC,Active,Full-Time,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Male,80589,Hispanic,Single,exceeds,5,True,66.38466803559206,1922,Entry,5.265753424657534
2924,2021-03-23,2023-07-20,Production,Anna Ashley,EW,Voluntarily Terminated,Contract,Zone B,Part-Time,Retirement,Wrong practice hold serve image.,Production       ,Field Engineering / Operations,1971,Northeast,Project / Site Management,Male,84575,Asian,Married,exceeds,5,False,54.00551882999411,849,Entry,2.326027397260274
2925,2018-08-30,2021-07-11,Production,Monica Jackson,CCDR,Active,Part-Time,Zone B,Temporary,Involuntary,New arm manage.,Production       ,General Operations,1968,Northeast,Admin & Support,Male,65881,Other,Divorced,exceeds,4,False,56.9415283296885,1046,Mid,2.8657534246575342
3047,2018-09-12,Present,Production,Micheal Merritt,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Admin & Support,Female,33237,White,Married,exceeds,5,True,59.742642026009584,2491,Mid,6.824657534246575
3099,2022-12-17,Present,Production,Zachary Smith,CCDR,Active,Full-Time,Zone A,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Engineering,Male,44977,Black,Divorced,exceeds,4,True,59.82751540041068,934,Entry,2.558904109589041
3134,2018-12-06,2022-12-01,Production,Keith George,TNS,Active,Part-Time,Zone C,Full-Time,Voluntary,Avoid that school central member.,Production       ,Field Engineering / Operations,1970,Northeast,Engineering,Female,2140,Hispanic,Married,exceeds,5,False,55.289439056577045,1456,Mid,3.989041095890411
3151,2022-02-26,Present,Production,Melissa Wheeler DDS,BPC,Active,Part-Time,Zone C,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Engineering,Female,81158,White,Widowed,exceeds,4,True,53.62690140753642,1228,Entry,3.3643835616438356
3157,2019-03-10,2021-11-16,Production,Kimberly Collier,TNS,Active,Contract,Zone A,Full-Time,Voluntary,Capital series something again ever.,Production       ,Consulting / Client Delivery,1967,Northeast,Engineering,Female,25266,White,Divorced,exceeds,5,False,57.7993064913714,982,Mid,2.6904109589041094
3160,2019-03-06,Present,Production,Madeline Henderson,NEL,Active,Full-Time,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1969,Northeast,Other,Female,69293,Other,Single,exceeds,4,True,55.59941880670205,2316,Mid,6.345205479452055
3167,2019-06-19,Present,Production,Karina Hampton,EW,Active,Full-Time,Zone B,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1973,Northeast,Field Operations,Male,2156,Other,Divorced,exceeds,4,True,51.88786082895544,2211,Entry,6.057534246575343
3363,2022-03-30,Present,Production,Jack Branch,MSC,Active,Part-Time,Zone A,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Labor & Site Work,Male,31018,Black,Married,exceeds,5,True,54.01991803579068,1196,Entry,3.276712328767123
3368,2019-11-14,2023-05-14,Production,Benjamin Cook,CCDR,Leave of Absence,Part-Time,Zone B,Part-Time,Retirement,These these by when here attorney special.,Production       ,Field Engineering / Operations,1970,Northeast,Other,Male,61176,Black,Married,exceeds,5,False,35.39493497604381,1277,Mid,3.4986301369863013
3376,2023-07-06,Present,Production,Christopher Sexton,PL,Active,Part-Time,Zone B,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Female,7445,Asian,Single,exceeds,5,True,38.63655030800821,733,Entry,2.0082191780821916
3377,2020-02-24,2023-05-13,Production,Evan Schultz,BPC,Active,Part-Time,Zone A,Temporary,Resignation,Tough very bad spend feeling college require.,Production       ,Field Engineering / Operations,1970,Northeast,Project / Site Management,Female,52336,Asian,Widowed,exceeds,4,False,35.81656399726215,1174,Entry,3.2164383561643834
3382,2018-11-10,Present,Production,Thomas Elliott,TNS,Active,Part-Time,Zone C,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1973,Northeast,Admin & Support,Male,59153,Other,Divorced,exceeds,5,True,51.61261759768998,2432,Entry,6.663013698630137
