feature_1,feature_2,n_outcomes,impact_mean,impact_std,impact_cv,impact_min,impact_max
DeptGenderRatio,ExitQuarter,5,0.0009,0.0015,1.6462,-0.0,0.0039
DeptGenderRatio,ExitYear,5,0.0006,0.0005,0.8165,-0.0,0.001
DeptGenderRatio,GenderCode,5,0.0266,0.0531,2.0,-0.0,0.1328
DeptGenderRatio,IntersectionalID,5,0.0,0.0,0.0,-0.0,-0.0
DeptGenderRatio,PerfScore,5,0.2037,0.2512,1.2332,-0.0,0.5557
DeptGenderRatio,RaceDesc,5,0.0031,0.0039,1.2546,-0.0,0.0092
DeptGenderRatio,StartQuarter,5,0.0002,0.0002,1.2247,-0.0,0.0005
DeptGenderRatio,StartYear,5,0.0004,0.0003,0.8165,-0.0,0.0006
DivisionGroup,DepartmentType,5,0.0003,0.0003,0.9911,0.0,0.0007
DivisionGroup,DeptDiversityScore,5,0.0,0.0,2.0,-0.0,0.0001
DivisionGroup,DeptGenderRatio,5,0.0,0.0,2.0,-0.0,0.0001
DivisionGroup,ExitQuarter,5,0.001,0.0004,0.3947,0.0004,0.0015
DivisionGroup,ExitYear,5,0.005,0.0061,1.2253,-0.0,0.0127
DivisionGroup,GenderCode,5,0.0007,0.0001,0.2268,0.0004,0.0008
DivisionGroup,Generation,5,0.0007,0.0005,0.6821,0.0003,0.0016
DivisionGroup,IntersectionalID,5,0.0004,0.0005,1.0796,0.0001,0.0013
DivisionGroup,IsExecutive,5,0.0002,0.0002,1.0488,-0.0,0.0006
DivisionGroup,IsIC,5,0.0014,0.0008,0.5966,-0.0,0.0024
DivisionGroup,IsManager,5,0.0007,0.0002,0.3447,0.0004,0.001
DivisionGroup,OrgLevel,5,0.0036,0.0036,1.0107,0.0009,0.0105
DivisionGroup,PerfScore,5,0.0004,0.0002,0.5861,-0.0,0.0007
DivisionGroup,RaceDesc,5,0.0004,0.0002,0.381,0.0002,0.0006
DivisionGroup,Region,5,0.0005,0.0001,0.2243,0.0004,0.0007
DivisionGroup,SpanOfControl,5,0.0028,0.0023,0.7938,0.0005,0.007
DivisionGroup,StartQuarter,5,0.0026,0.0014,0.5434,0.0012,0.0052
DivisionGroup,StartYear,5,0.0002,0.0002,1.287,-0.0,0.0005
ExitQuarter,DepartmentType,5,0.0016,0.0012,0.7656,0.0007,0.0039
ExitQuarter,GenderCode,5,0.0006,0.0004,0.7428,0.0002,0.0014
ExitQuarter,PerfScore,5,0.0004,0.0003,0.8367,-0.0,0.0008
ExitQuarter,RaceDesc,5,0.0011,0.0004,0.4116,0.0005,0.0016
ExitYear,DepartmentType,5,0.0022,0.0027,1.2664,-0.0,0.0065
ExitYear,ExitQuarter,5,0.0,0.0,0.0,-0.0,-0.0
ExitYear,GenderCode,5,0.0001,0.0002,1.2454,-0.0,0.0004
ExitYear,PerfScore,5,0.0001,0.0002,1.2454,-0.0,0.0004
ExitYear,RaceDesc,5,0.0002,0.0003,1.2247,-0.0,0.0006
GenderCode,DepartmentType,5,0.3439,0.208,0.6048,0.0,0.5947
GenderCode,RaceDesc,5,0.0076,0.0037,0.4863,0.0033,0.0136
Generation,DepartmentType,5,0.1131,0.0339,0.2994,0.053,0.147
Generation,DeptDiversityScore,5,0.0281,0.0351,1.2497,-0.0,0.0813
Generation,DeptGenderRatio,5,0.0511,0.0638,1.2498,-0.0,0.1478
Generation,ExitQuarter,5,0.0006,0.0002,0.3801,0.0004,0.001
Generation,ExitYear,5,0.0004,0.0005,1.2271,-0.0,0.0011
Generation,GenderCode,5,0.002,0.0011,0.5193,0.001,0.0037
Generation,IntersectionalID,5,0.0294,0.0195,0.6625,0.0032,0.0597
Generation,IsExecutive,5,0.0019,0.001,0.514,-0.0,0.0028
Generation,IsIC,5,0.0258,0.0189,0.7315,-0.0,0.0561
Generation,IsManager,5,0.1475,0.0465,0.3152,0.0636,0.1925
Generation,OrgLevel,5,0.0006,0.0002,0.2789,0.0004,0.0009
Generation,PerfScore,5,0.0037,0.0025,0.692,-0.0,0.0072
Generation,RaceDesc,5,0.0006,0.0002,0.3333,0.0003,0.0009
Generation,SpanOfControl,5,0.0011,0.0005,0.4983,0.0005,0.0019
Generation,StartQuarter,5,0.0009,0.0003,0.2949,0.0004,0.0012
Generation,StartYear,5,0.0001,0.0001,1.2649,-0.0,0.0003
IntersectionalID,DepartmentType,5,0.0,0.0,0.0,0.0,0.0
IntersectionalID,ExitQuarter,5,0.0012,0.0008,0.6294,0.0006,0.0027
IntersectionalID,ExitYear,5,0.0104,0.0136,1.3062,-0.0,0.0334
IntersectionalID,GenderCode,5,25.4538,50.9076,2.0,0.0,127.2689
IntersectionalID,PerfScore,5,0.0251,0.0181,0.7193,-0.0,0.0521
IntersectionalID,RaceDesc,5,0.0,0.0,0.0,0.0,0.0
IntersectionalID,StartQuarter,5,0.0005,0.0001,0.2764,0.0003,0.0007
IntersectionalID,StartYear,5,0.0002,0.0004,1.6159,-0.0,0.001
IsExecutive,DepartmentType,5,0.2479,0.1407,0.5675,-0.0,0.3903
IsExecutive,DeptDiversityScore,5,0.1349,0.1682,1.247,-0.0,0.3873
IsExecutive,DeptGenderRatio,5,0.1043,0.13,1.247,-0.0,0.2993
IsExecutive,ExitQuarter,5,0.0003,0.0002,0.5455,-0.0,0.0005
IsExecutive,ExitYear,5,0.0025,0.0033,1.2969,-0.0,0.008
IsExecutive,GenderCode,5,0.0047,0.0048,1.0394,-0.0,0.014
IsExecutive,IntersectionalID,5,0.1893,0.1016,0.5367,-0.0,0.2645
IsExecutive,IsIC,5,0.3472,0.1923,0.5538,-0.0,0.5154
IsExecutive,IsManager,5,0.0019,0.0011,0.5895,-0.0,0.0031
IsExecutive,OrgLevel,5,0.0023,0.0015,0.6685,-0.0,0.0041
IsExecutive,PerfScore,5,0.0057,0.0051,0.8988,-0.0,0.0122
IsExecutive,RaceDesc,5,0.0063,0.0048,0.7691,-0.0,0.0145
IsExecutive,SpanOfControl,5,0.0,0.0,2.0,-0.0,0.0001
IsExecutive,StartQuarter,5,0.0033,0.003,0.8859,-0.0,0.0089
IsExecutive,StartYear,5,0.0003,0.0004,1.2293,-0.0,0.0008
IsIC,DepartmentType,5,28.6371,17.4042,0.6078,-0.0,47.7507
IsIC,DeptDiversityScore,5,16.1312,19.8743,1.232,-0.0,43.7431
IsIC,DeptGenderRatio,5,17.7229,21.8353,1.232,-0.0,48.0592
IsIC,ExitQuarter,5,0.0113,0.0097,0.8584,-0.0,0.0287
IsIC,ExitYear,5,0.0096,0.0121,1.2562,-0.0,0.0283
IsIC,GenderCode,5,0.4452,0.5909,1.3274,-0.0,1.6097
IsIC,IntersectionalID,5,27.5136,17.3534,0.6307,-0.0,47.2118
IsIC,OrgLevel,5,0.0044,0.0025,0.574,-0.0,0.0074
IsIC,PerfScore,5,0.1153,0.1025,0.8891,-0.0,0.2431
IsIC,RaceDesc,5,0.0035,0.002,0.5833,-0.0,0.0062
IsIC,SpanOfControl,5,0.0006,0.0003,0.5161,-0.0,0.0008
IsIC,StartQuarter,5,0.0038,0.0026,0.6872,-0.0,0.0068
IsIC,StartYear,5,0.0009,0.0011,1.2385,-0.0,0.0024
IsLongTenure,DepartmentType,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,DeptDiversityScore,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,DeptGenderRatio,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,DivisionGroup,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,ExitQuarter,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,ExitYear,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,GenderCode,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,Generation,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,IntersectionalID,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,IsExecutive,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,IsIC,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,IsManager,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,JobFamily,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,OrgLevel,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,PerfScore,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,RaceDesc,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,Region,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,SeniorityLevel,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,SpanOfControl,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,StartQuarter,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,StartYear,5,0.0,0.0,0.0,-0.0,-0.0
IsLongTenure,TenureVsAvg,5,0.0,0.0,0.0,-0.0,-0.0
IsManager,DepartmentType,5,27.1206,11.4313,0.4215,12.1872,42.186
IsManager,DeptDiversityScore,5,14.0395,17.3716,1.2373,-0.0,39.0069
IsManager,DeptGenderRatio,5,14.8331,18.3535,1.2373,-0.0,41.2118
IsManager,ExitQuarter,5,0.007,0.0034,0.4864,0.0019,0.0119
IsManager,ExitYear,5,0.0048,0.0059,1.2277,-0.0,0.0127
IsManager,GenderCode,5,0.1355,0.1835,1.3547,0.0006,0.4976
IsManager,IntersectionalID,5,26.1881,12.5832,0.4805,9.7041,42.3205
IsManager,IsIC,5,33.4512,43.6118,1.3037,-0.0,107.2666
IsManager,OrgLevel,5,0.0005,0.0004,0.785,-0.0,0.0011
IsManager,PerfScore,5,0.1074,0.0644,0.6003,-0.0,0.1801
IsManager,RaceDesc,5,0.0029,0.0006,0.1926,0.0021,0.0036
IsManager,SpanOfControl,5,0.0008,0.0002,0.2823,0.0004,0.0011
IsManager,StartQuarter,5,0.0007,0.0003,0.4041,0.0003,0.0011
IsManager,StartYear,5,0.0018,0.0023,1.2522,-0.0,0.0053
JobFamily,DepartmentType,5,36.2592,72.5184,2.0,0.0,181.2961
JobFamily,DeptDiversityScore,5,0.0,0.0,0.0,0.0,0.0
JobFamily,DeptGenderRatio,5,0.0,0.0,0.0,-0.0,-0.0
JobFamily,DivisionGroup,5,0.0007,0.0007,1.0392,0.0002,0.002
JobFamily,ExitQuarter,5,0.0044,0.0029,0.6664,0.0019,0.01
JobFamily,ExitYear,5,0.001,0.0012,1.2264,-0.0,0.0026
JobFamily,GenderCode,5,1.5554,2.0316,1.3062,0.2871,5.5964
JobFamily,Generation,5,0.0084,0.0024,0.2821,0.0039,0.0105
JobFamily,IntersectionalID,5,30.7354,61.4708,2.0,0.0,153.677
JobFamily,IsExecutive,5,3.4563,6.9127,2.0,-0.0,17.2817
JobFamily,IsIC,5,17.8691,35.7382,2.0,-0.0,89.3455
JobFamily,IsManager,5,35.2499,44.9663,1.2756,0.0,108.0082
JobFamily,OrgLevel,5,0.0034,0.0017,0.5036,0.0002,0.0049
JobFamily,PerfScore,5,0.4774,0.3185,0.6671,-0.0,0.8975
JobFamily,RaceDesc,5,0.0095,0.0032,0.3365,0.0054,0.0146
JobFamily,Region,5,20.1809,6.171,0.3058,9.6856,28.6455
JobFamily,SeniorityLevel,5,0.0,0.0,0.0,-0.0,-0.0
JobFamily,SpanOfControl,5,0.0019,0.0019,1.0272,0.0005,0.0057
JobFamily,StartQuarter,5,0.0007,0.0002,0.3402,0.0005,0.0011
JobFamily,StartYear,5,0.0001,0.0002,1.2454,-0.0,0.0004
OrgLevel,DepartmentType,5,0.0028,0.0022,0.7663,0.0009,0.0069
OrgLevel,DeptDiversityScore,5,0.0016,0.0027,1.7261,-0.0,0.0069
OrgLevel,DeptGenderRatio,5,0.0017,0.003,1.727,-0.0,0.0077
OrgLevel,ExitQuarter,5,0.0006,0.0003,0.4901,0.0003,0.0012
OrgLevel,ExitYear,5,0.0002,0.0003,1.5851,-0.0,0.0009
OrgLevel,GenderCode,5,0.0002,0.0003,1.2528,-0.0,0.0008
OrgLevel,IntersectionalID,5,0.0095,0.0129,1.3563,0.0009,0.035
OrgLevel,PerfScore,5,0.002,0.0019,0.9413,-0.0,0.0049
OrgLevel,RaceDesc,5,0.0157,0.0064,0.4061,0.009,0.0252
OrgLevel,StartQuarter,5,0.001,0.0004,0.395,0.0005,0.0017
OrgLevel,StartYear,5,0.0004,0.0006,1.353,-0.0,0.0015
PerfScore,DepartmentType,5,0.3316,0.1998,0.6027,-0.0,0.5725
PerfScore,GenderCode,5,0.0039,0.0042,1.0699,-0.0,0.0118
PerfScore,RaceDesc,5,0.0031,0.0021,0.663,-0.0,0.0057
RaceDesc,DepartmentType,5,0.0107,0.002,0.189,0.0075,0.0136
Region,DepartmentType,5,36.4996,22.1374,0.6065,0.0,62.7928
Region,DeptDiversityScore,5,10.7013,21.4026,2.0,-0.0,53.5066
Region,DeptGenderRatio,5,11.022,22.044,2.0,-0.0,55.1101
Region,ExitQuarter,5,0.0062,0.0029,0.464,0.0019,0.0097
Region,ExitYear,5,0.0056,0.0092,1.6306,-0.0,0.0237
Region,GenderCode,5,0.2462,0.3157,1.2825,0.0626,0.8762
Region,Generation,5,0.0048,0.0009,0.1932,0.0031,0.0058
Region,IntersectionalID,5,40.6669,11.9732,0.2944,19.9624,55.7798
Region,IsExecutive,5,0.0003,0.0002,0.6992,-0.0,0.0005
Region,IsIC,5,8.0682,4.9233,0.6102,-0.0,14.0079
Region,IsManager,5,13.9659,7.947,0.569,1.6243,24.1927
Region,OrgLevel,5,0.0082,0.0055,0.6794,0.0018,0.0168
Region,PerfScore,5,0.0041,0.0032,0.7638,-0.0,0.0086
Region,RaceDesc,5,0.0147,0.0031,0.212,0.0099,0.0194
Region,SpanOfControl,5,0.0041,0.0048,1.1579,0.0002,0.0121
Region,StartQuarter,5,0.0066,0.0033,0.5006,0.0037,0.013
Region,StartYear,5,0.0006,0.0008,1.2649,-0.0,0.0018
SeniorityLevel,DepartmentType,5,30.03,18.041,0.6008,-0.0,48.9266
SeniorityLevel,DeptDiversityScore,5,16.4568,20.2416,1.23,-0.0,44.094
SeniorityLevel,DeptGenderRatio,5,18.0731,22.2298,1.23,-0.0,48.4249
SeniorityLevel,DivisionGroup,5,0.0011,0.0008,0.7158,-0.0,0.0024
SeniorityLevel,ExitQuarter,5,0.0008,0.0008,0.9454,-0.0,0.0022
SeniorityLevel,ExitYear,5,0.0004,0.0004,1.2373,-0.0,0.001
SeniorityLevel,GenderCode,5,0.4197,0.5622,1.3397,-0.0,1.528
SeniorityLevel,Generation,5,0.003,0.0023,0.7662,-0.0,0.0068
SeniorityLevel,IntersectionalID,5,29.9105,18.6419,0.6233,-0.0,50.3604
SeniorityLevel,IsExecutive,5,3.5507,7.1014,2.0,0.0,17.7534
SeniorityLevel,IsIC,5,25.0799,50.1599,2.0,-0.0,125.3997
SeniorityLevel,IsManager,5,14.2461,28.4922,2.0,0.0,71.2304
SeniorityLevel,OrgLevel,5,0.0136,0.007,0.5146,-0.0,0.0196
SeniorityLevel,PerfScore,5,0.1385,0.1256,0.907,-0.0,0.3005
SeniorityLevel,RaceDesc,5,0.0069,0.0049,0.7056,-0.0,0.0147
SeniorityLevel,Region,5,8.8617,5.4623,0.6164,-0.0,15.3777
SeniorityLevel,SpanOfControl,5,0.0003,0.0002,0.6056,-0.0,0.0006
SeniorityLevel,StartQuarter,5,0.0004,0.0003,0.7583,-0.0,0.0009
SeniorityLevel,StartYear,5,0.0014,0.0017,1.2466,-0.0,0.0039
SpanOfControl,DepartmentType,5,0.0015,0.0011,0.7319,0.0006,0.0032
SpanOfControl,DeptDiversityScore,5,0.0002,0.0003,1.2247,-0.0,0.0006
SpanOfControl,DeptGenderRatio,5,0.0002,0.0003,1.2247,-0.0,0.0006
SpanOfControl,ExitQuarter,5,0.0013,0.0002,0.1462,0.0012,0.0017
SpanOfControl,ExitYear,5,0.0008,0.0011,1.3784,-0.0,0.0028
SpanOfControl,GenderCode,5,0.0005,0.0002,0.4195,0.0003,0.0008
SpanOfControl,IntersectionalID,5,0.0484,0.0364,0.7515,0.0096,0.098
SpanOfControl,OrgLevel,5,0.0,0.0,0.0,0.0,0.0
SpanOfControl,PerfScore,5,0.0043,0.0029,0.6684,-0.0,0.0089
SpanOfControl,RaceDesc,5,0.0082,0.0048,0.5806,0.0039,0.0158
SpanOfControl,StartQuarter,5,0.0054,0.0023,0.4271,0.0023,0.009
SpanOfControl,StartYear,5,0.0001,0.0001,1.2247,-0.0,0.0003
StartQuarter,DepartmentType,5,0.0029,0.0005,0.1881,0.0022,0.0037
StartQuarter,ExitQuarter,5,0.0476,0.0086,0.1798,0.0338,0.0593
StartQuarter,ExitYear,5,0.0028,0.0034,1.2301,-0.0,0.0074
StartQuarter,GenderCode,5,0.0006,0.0006,0.9717,0.0002,0.0017
StartQuarter,PerfScore,5,0.0106,0.0056,0.5273,-0.0,0.0161
StartQuarter,RaceDesc,5,0.001,0.0003,0.2684,0.0006,0.0013
StartYear,DepartmentType,5,0.0004,0.0005,1.2454,-0.0,0.0012
StartYear,ExitQuarter,5,0.0165,0.0205,1.2408,-0.0,0.0465
StartYear,ExitYear,5,0.0005,0.0004,0.8165,-0.0,0.0009
StartYear,GenderCode,5,0.0007,0.0009,1.28,-0.0,0.0021
StartYear,PerfScore,5,0.0049,0.006,1.2276,-0.0,0.0129
StartYear,RaceDesc,5,0.0002,0.0003,1.2649,-0.0,0.0006
StartYear,StartQuarter,5,2.2842,2.8841,1.2626,-0.0,6.819
TenureDays,CareerStage,5,0.0005,0.0007,1.4085,-0.0,0.0018
TenureDays,DepartmentType,5,0.0011,0.0013,1.2247,-0.0,0.0027
TenureDays,DeptDiversityScore,5,0.0021,0.0017,0.8165,-0.0,0.0035
TenureDays,DeptGenderRatio,5,0.0003,0.0002,0.8165,-0.0,0.0005
TenureDays,DivisionGroup,5,0.0007,0.0009,1.3011,-0.0,0.0023
TenureDays,ExitQuarter,5,0.4814,0.8448,1.7551,-0.0,2.1602
TenureDays,ExitYear,5,0.0,0.0,0.0,0.0,0.0
TenureDays,GenderCode,5,0.0002,0.0003,1.2649,-0.0,0.0006
TenureDays,Generation,5,0.0003,0.0003,1.2308,-0.0,0.0007
TenureDays,IntersectionalID,5,0.0011,0.0014,1.2247,-0.0,0.0028
TenureDays,IsExecutive,5,0.0005,0.0007,1.3907,-0.0,0.0017
TenureDays,IsIC,5,0.0002,0.0003,1.3333,-0.0,0.0008
TenureDays,IsLongTenure,5,0.0,0.0,0.0,-0.0,-0.0
TenureDays,IsManager,5,0.0001,0.0002,1.2454,-0.0,0.0004
TenureDays,JobFamily,5,0.0005,0.0007,1.2779,-0.0,0.0016
TenureDays,OrgLevel,5,0.0006,0.0009,1.5359,-0.0,0.0023
TenureDays,PerfScore,5,0.0043,0.0058,1.3372,-0.0,0.0144
TenureDays,RaceDesc,5,0.0001,0.0001,1.2247,-0.0,0.0003
TenureDays,Region,5,0.0006,0.0008,1.3487,-0.0,0.0019
TenureDays,SeniorityLevel,5,0.0005,0.0007,1.4394,-0.0,0.0017
TenureDays,SpanOfControl,5,0.004,0.007,1.7505,-0.0,0.018
TenureDays,StartQuarter,5,5.4311,8.3595,1.5392,-0.0,21.5835
TenureDays,StartYear,5,13.5158,11.0356,0.8165,-0.0,22.5264
TenureDays,TenureVsAvg,5,0.0,0.0,0.0,-0.0,-0.0
TenureDays,TenureYears,5,0.0,0.0,0.0,-0.0,-0.0
TenureVsAvg,DepartmentType,5,0.0009,0.0017,1.7948,-0.0,0.0043
TenureVsAvg,DeptDiversityScore,5,0.0021,0.0017,0.8165,-0.0,0.0035
TenureVsAvg,DeptGenderRatio,5,0.0002,0.0002,0.8165,-0.0,0.0004
TenureVsAvg,DivisionGroup,5,0.0002,0.0003,1.2649,-0.0,0.0006
TenureVsAvg,ExitQuarter,5,21.4296,42.8593,2.0,-0.0,107.1482
TenureVsAvg,ExitYear,5,0.0,0.0,0.0,0.0,0.0
TenureVsAvg,GenderCode,5,0.0001,0.0001,1.2247,-0.0,0.0002
TenureVsAvg,Generation,5,0.0002,0.0003,1.2984,-0.0,0.0007
TenureVsAvg,IntersectionalID,5,0.0002,0.0003,1.5072,-0.0,0.0007
TenureVsAvg,IsExecutive,5,0.0001,0.0001,1.2649,-0.0,0.0003
TenureVsAvg,IsIC,5,0.0004,0.0006,1.3333,-0.0,0.0014
TenureVsAvg,IsManager,5,0.0012,0.0015,1.2247,-0.0,0.0031
TenureVsAvg,JobFamily,5,0.0001,0.0002,1.5492,-0.0,0.0004
TenureVsAvg,OrgLevel,5,0.0002,0.0003,1.3784,-0.0,0.0007
TenureVsAvg,PerfScore,5,0.005,0.0068,1.3652,-0.0,0.0172
TenureVsAvg,RaceDesc,5,0.0001,0.0002,1.2454,-0.0,0.0004
TenureVsAvg,Region,5,0.0001,0.0002,1.2454,-0.0,0.0004
TenureVsAvg,SeniorityLevel,5,0.0003,0.0004,1.2293,-0.0,0.0008
TenureVsAvg,SpanOfControl,5,0.0007,0.001,1.526,-0.0,0.0026
TenureVsAvg,StartQuarter,5,0.0,0.0,0.0,-0.0,-0.0
TenureVsAvg,StartYear,5,13.4922,11.0163,0.8165,-0.0,22.487
TenureYears,CareerStage,5,0.0002,0.0004,2.0,0.0,0.001
TenureYears,DepartmentType,5,0.0009,0.0017,1.7948,-0.0,0.0043
TenureYears,DeptDiversityScore,5,0.0021,0.0017,0.8165,-0.0,0.0035
TenureYears,DeptGenderRatio,5,0.0002,0.0002,0.8165,-0.0,0.0004
TenureYears,DivisionGroup,5,0.0002,0.0003,1.2649,-0.0,0.0006
TenureYears,ExitQuarter,5,21.5487,43.0974,2.0,-0.0,107.7436
TenureYears,ExitYear,5,0.0,0.0,0.0,-0.0,-0.0
TenureYears,GenderCode,5,0.0001,0.0001,1.2247,-0.0,0.0002
TenureYears,Generation,5,0.0002,0.0003,1.2984,-0.0,0.0007
TenureYears,IntersectionalID,5,0.0002,0.0003,1.5072,-0.0,0.0007
TenureYears,IsExecutive,5,0.0001,0.0001,1.2649,-0.0,0.0003
TenureYears,IsIC,5,0.0004,0.0006,1.3333,-0.0,0.0014
TenureYears,IsLongTenure,5,0.0,0.0,0.0,-0.0,-0.0
TenureYears,IsManager,5,0.0012,0.0015,1.2247,-0.0,0.0031
TenureYears,JobFamily,5,0.0001,0.0002,1.5492,-0.0,0.0004
TenureYears,OrgLevel,5,0.0002,0.0003,1.3784,-0.0,0.0007
TenureYears,PerfScore,5,0.003,0.0041,1.3624,-0.0,0.0104
TenureYears,RaceDesc,5,0.0001,0.0002,1.2454,-0.0,0.0004
TenureYears,Region,5,0.0001,0.0002,1.2454,-0.0,0.0004
TenureYears,SeniorityLevel,5,0.0003,0.0004,1.2293,-0.0,0.0008
TenureYears,SpanOfControl,5,0.0007,0.001,1.526,-0.0,0.0026
TenureYears,StartQuarter,5,0.0,0.0,0.0,0.0,0.0
TenureYears,StartYear,5,13.4922,11.0163,0.8165,-0.0,22.487
TenureYears,TenureVsAvg,5,0.0,0.0,0.0,-0.0,-0.0
